District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
H,Hebbur,678,983.3,45
H,Uradigere,683.3,1211,77
H,Kora,788.4,1306.8,66
H,Tumakuru East,844.2,1381.1,64
H,Tumakuru West,839.5,1158.5,38
H,Tumakuru South,846.3,1117.9,32
T,Turuvekere,772.2,1038.2,34
H,Turuvekere,772.2,1010.6,31
H,Dabbegatta,606.2,1019.3,68
H,Dandinasivara,707.3,1077.7,52
H,Mayasandra,657,1051.9,60
D,CHITRADURGA,540.1,697.9,29
T,Challakere,484.5,736.8,52
H,Challakere,484.5,574.8,19
H,Nayakanahatti,427.7,985,130
H,Parasurampura,410.3,799.3,95
H,Thalku,391.7,641.7,64
T,Chitradurga,665.5,747.9,12
H,Chitradurga,665.5,688.6,3
H,Bharmasagara,601.4,810.6,35
H,Hire Guntanur,576,889.2,54
H,Turuvanur,580.6,676.7,17
T,Hiriyur,578.2,604.3,5
H,Hiriyur,578.2,640,11
H,Aymangala,516.7,549.7,6
H,Dharmapura,480.5,668.4,39
H,Javanagondanahalli,562.1,579.7,3
T,Holalkere,722,632.4,-12
H,Holalkere,722,647.7,-10
H,Bharmanaikanadurga,647.7,601.7,-7
H,Ramagiri,535.1,688.1,29
H,Talya,650.3,601.5,-8
T,Hosadurga,647.7,818.6,26
H,Hosadurga,647.7,837.6,29
H,Madadhakeri,572.8,745.6,30
H,Mathodu,580.2,847.6,46
H,Srirampura,564.3,869.4,54
T,Molakalmuru,545,575.4,6
H,Molakalmuru,545,501.9,-8
H,Devasamudra,400.3,658.1,64
D,DAVANAGERE,659,952.4,45
T,Channagiri,840.1,908.5,8
H,Channagiri,840.1,948.3,13
H,Basavapatna_1,703.4,910.8,29
H,Basavapatna_2,681.9,812,19
H,Santebannur_1,710.2,874.4,23
H,Santebannur_2,741,847.4,14
H,Ubrani,751.6,943.5,26
T,Davanagere,641.3,956.3,49
H,Davangere,641.3,934.3,46
H,Anogodu,598.8,975.2,63
H,Mayakonda,638.9,958.7,50
T,HARIHARA,630.1,868.3,38
H,Harihara,630.1,820.8,30
H,Malebennur,586.3,907.5,55
T,Honnali,661.6,954.6,44
H,Honnali,661.6,946.4,43
H,Govinakovi_2,667.2,881.2,32
H,Sasavehalli_1,719.3,1053.4,46
H,Sasavehalli_2,640.3,890,39
T,Jagalur,527.7,994.4,88
H,Jagalur,527.7,1051.9,99
H,Bilichodu,503.6,883,75
H,Sokke,574.4,1027.2,79
T,Nyamati,825.7,1085.7,31
H,Belagutti,825.7,1116.3,35
H,Govinakovi_1,709.9,1001.9,41
D,CHAMARAJANAGARA,786.9,836.3,6
T,CHAMARAJANAGARA,769.7,880.7,14
H,Chamarajanagara,769.7,856.5,11
H,Chandakavadi,792.9,871.1,10
H,Haradanhalli,774.4,970.2,25
H,Harve,751.9,860.7,14
H,Santemarahalli,837.8,846.1,1
T,Gundlupet,792,938.5,18
H,Gundlupet,792,905.8,14
H,Begur,648.7,926.9,43
H,Terakanambi,766.2,761.4,-1
H,Hangala,784.1,1006.6,28
T,Kollegal,843.4,789.3,-6
H,Kollegala,843.4,695.5,-18
H,Palya,802.3,839,5
T,Yelandur,867.3,750,-14
H,Yelandur,867.3,809.8,-7
H,Agara,770.8,720.7,-6
T,Hanur,753.8,775.6,3
H,Hanur,753.8,785.5,4
H,Lokkanahalli,781.4,687.2,-12
H,Ramapura,811.1,797,-2
D,MYSURU,837.4,964.9,15
T,HEGGADADEVANAKOTE,836.7,1137.2,36
H,Heggadadevanakote,836.7,1078.9,29
H,Antarasante,1031.5,1263.2,22
H,Hampapura,764.5,984.1,29
T,Hunsur,799.3,923.7,16
H,Hunsur,799.3,867.4,9
H,Bilikere,764.1,937.1,23
H,Gowdargyare,767.2,805.9,5
H,Hanagoadu,976.2,994.5,2
T,Krishnarajanagar,734.9,712.7,-3
H,Krishnarajanagar,734.9,668.9,-9
H,Hebbalu,721.3,763.9,6
H,Hasa Agrahar,681.7,709.5,4
T,Mysuru,809.9,807.6,0
H,Mysuru,809.9,848.8,5
H,Elivala,756.9,726.2,-4
H,Jayapura,774.1,886.6,15
H,Varuna,738.5,749.6,2
T,Nanjanagud,730,926.3,27
H,Nanjangud,730,986.8,35
H,Biligere,725.6,837.8,15
H,Chikkayyana Chattra,732.3,882.4,20
H,Hullahalli,788.3,1010.4,28
H,Doddakowlande,731,815.7,12
T,Periyapatna,851.7,1093.8,28
H,Periyapatna,851.7,1093,28
H,Bettadpur,770.1,1095,42
H,Haranahalli,957,1279.6,34
H,Ravanduru,809.7,836.2,3
T,T.NARASIPURA,738.2,877.6,19
H,T.Narasipur,738.2,909.9,23
H,Bannur,721.4,836.7,16
H,Muguru,781.3,849.3,9
H,Sosale,737.8,967.8,31
H,Talakad,776.8,819.6,6
T,Saraguru,949.7,1067.4,12
H,Saraguru,949.7,1030.3,8
H,B.Matakere,937.4,1094.9,17
T,Saligram,662.9,921.5,39
H,Saligram,662.9,983,48
H,Mirale,690.2,970.4,41
H,Chanachanakatte,698.6,813.5,16
D,MANDYA,699,868.9,24
T,Krishnarajapet,747.4,1061.4,42
H,Krishnarajapet,747.4,933.6,25
H,Akkihebalu,699.4,1092.4,56
H,Bukanakere,700.3,843.5,20
H,Kikkeri,719.5,1215,69
H,Santebachahalli,652,1223.7,88
H,Silanare,697.7,1060.2,52
T,Maddur,767,703.4,-8
H,Madduru_2,767,710.1,-7
H,Koppa_2,883.4,715,-19
H,Chikkaarasinakere_1,753.1,585.9,-22
H,Autaguru,779.1,747.5,-4
H,Madduru_1,757.8,625,-18
H,Koppa_2,739.3,915.4,24
H,Koppa_1,832.2,768.5,-8
H,Koppa_3,768.5,736.3,-4
H,Chikaarasinakere_2,742.1,633.6,-15
H,Chikaarasinakere_3,734.5,667.3,-9
T,Malavalli,702.6,889.2,27
H,Malavalli_1,702.6,758.5,8
H,Halaguru,799.3,962.4,20
H,Kirgavalu_1,719,747.1,4
H,B G Pura_2,778.1,883.9,14
H,Malavalli_2,748.3,924.2,24
H,Malavalli_3,772.3,742.3,-4
H,Kirgavalu_2,721.1,986.8,37
H,Kirgavalu_3,718.6,899.2,25
H,B G Pura_1,772.6,906.4,17
T,Mandya,699.7,762.6,9
H,Mandya_1,699.7,610.6,-13
H,Basaralu_1,609.5,929.2,52
H,Dudda_1,648.8,833.4,28
H,Keragodu_1,735.1,733.6,0
H,Kottatti_1,697.4,691.3,-1
H,Mandya_2,736.9,625.9,-15
H,Kottatti_2,709.4,709.5,0
H,Keragodu_2,747.4,703.5,-6
H,Dudda_2,681.4,606.7,-11
H,Basaralu_2,796.4,959.9,21
T,Nagamangala,765.1,904.3,18
H,Nagamangala,765.1,621.3,-19
H,Belluru,520,965.2,86
H,Bendaganavele,556.4,1177.1,112
H,Devalapura,692,810.1,17
H,Honakere,465.3,973.1,109
T,Pandavapura,679.6,806.8,19
H,Pandavapura_1,679.6,664.2,-2
H,Chinkurali,684.6,873.1,28
H,Melukote,701.8,853.8,22
H,Pandavapura_2,660.5,688.7,4
T,Srirangapatna,638.1,834.1,31
H,Srirangapatna,638.1,842.4,32
H,Arakere,700.9,798.5,14
H,Belagola,748,870.1,16
H,K Shettihalli_2,650.6,847.9,30
H,K Shettihalli_1,642.9,855.2,33
D,BALLARI,599.5,662.6,11
T,Ballari,516.2,431.4,-16
H,Ballari,516.2,410.1,-21
H,Moka,523.8,559,7
H,Rupanagudi,504.6,316.6,-37
H,Koluru,525.3,475.5,-9
T,Sandur,818.6,893.9,9
H,Sandur,818.6,906.4,11
H,Choranuru,626.8,975.4,56
H,Toranagallu,611.6,776.8,27
T,Siruguppa,675.1,650.4,-4
H,Siruguppa,675.1,790,17
H,Hachcholli,655.7,700.4,7
H,Karuru,563.1,476.2,-15
H,Tekkalakote,630,682.1,8
T,Kurugodu,499.2,595.2,19
H,Kurugodu,499.2,631.4,26
H,Koluru,513.6,536.9,5
T,Kampli,531.1,657,24
H,Kampli,531.1,685,29
H,Kurugodu,552.8,607.8,10
D,KOPPALA,613.8,598.3,-3
T,Gangavathi,583,673.1,15
H,Gangavathi,583,724.6,24
H,Marali,571.3,579.8,1
H,Venkatagiri,585.5,705.1,20
T,KOPPALA,635,610.5,-4
H,Koppal,635,629,-1
H,Alawandi,586.7,645.5,10
H,Hitnal,640.1,620,-3
H,Irkalgada,626.9,538.5,-14
T,Kushtagi,597.1,550.9,-8
H,Kushtagi,597.1,559.6,-6
H,Hanumanhal,658.4,515.4,-22
H,Hanamsagar,626.6,547.2,-13
H,Tavaragera,591.8,568.4,-4
T,Yelburga,596.8,646.7,8
